,Text,Dep,Head,Child
320444,Смеагол,nsubj,спасет,[]
320545,Голлум,nsubj,уменьшился,[]
320619,Голлум,nsubj,вскочил,[]
320662,Голлум,nsubj,отозвался,[]
320675,Смеагол,nsubj,хороший,[]
320709,Голлум,nsubj,вскинулся,[]
320756,Голлум,nsubj,перестал,[]
320824,Голлум,nsubj,заливался,[]
320859,Голлум,nsubj,вызывал,"[Новый, Смеагол, ,]"
320922,Голлум,nsubj,отозвался,[]
321038,Голлум,nsubj,испугался,[]
321041,Смеагол,nsubj,дал,[]
321060,Голлум,nsubj,повернул,[]
321160,Голлум,nsubj,думает,[]
321211,Голлум,nsubj,позвал,[]
321260,Голлум,nsubj,порыскал,[]
321274,Смеагол,nsubj,шел,[]
321363,Голлум,nsubj,побрел,[]
321464,Голлум,nsubj,продолжал,[]
321643,Голлум,nsubj,отказался,[]
321734,Голлум,nsubj,выказывал,[]
321767,Смеагол,nsubj,останется,[]
321814,Голлум,nsubj,рассердился,[]
321898,Голлум,nsubj,бродил,[]
322053,Голлум,nsubj,ответил,[]
322096,Голлум,nsubj,понюхал,[]
322143,Смеагол,nsubj,влезал,[]
322209,Смеагол,nsubj,подавился,[несчастный]
322239,Смеагол,nsubj,обещал,[]
322357,Голлум,nsubj,провожал,[]
322380,Голлум,nsubj,убедился,"[,]"
322422,Голлум,nsubj,слышит,[]
322608,Голлум,nsubj,забыл,[]
322706,Голлум,nsubj,пошевелился,[]
322735,Голлум,nsubj,забыл,[]
322833,Голлум,nsubj,пошевелился,[]
323008,Голлум,nsubj,исчез,[]
323088,Голлум,nsubj,сказал,[]
323945,Голлум,nsubj,мог,[]
324079,Смеагол,nsubj,пойдем,"[,]"
324098,Голлум,nsubj,ответствовал,[]
324359,Голлум,nsubj,хотел,[]
324684,Голлум,nsubj,корчился,[]
324757,Голлум,nsubj,повторил,[]
324860,Голлум,nsubj,выбирал,[дорогу]
325264,Голлум,nsubj,говорит,[]
325735,Голлум,nsubj,подхватил,[]
325884,Смеагол,nsubj,знает,[]
325891,Голлум,nsubj,пожал,[]
325972,Голлум,nsubj,пытался,[]
326007,Голлум,nsubj,закивал,[]
326187,Голлум,nsubj,шипел,[]
326319,Голлум,nsubj,остановился,[]
