,Text,Dep,Head,Child
84109,Фродо,nsubj,бросил,[]
84387,Фродо,nsubj,отозвался,[]
84581,Фродо,nsubj,укорил,[корчмарь]
84611,Фродо,nsubj,извинился,[]
84817,Фродо,nsubj,ответил,[]
84983,Фродо,nsubj,вспомнил,[]
85045,Фродо,nsubj,перебил,[]
85056,Фродо,nsubj,подумал,[чувством]
85084,Фродо,nsubj,мог,[малого]
85130,Фродо,nsubj,воскликнул,[]
85258,Фродо,nsubj,сказал,[]
85499,Фродо,nsubj,перебил,[]
85613,Фродо,nsubj,поднялся,[]
85701,Фродо,nsubj,повернулся,[]
85827,Фродо,nsubj,посмотрел,[]
85927,Фродо,nsubj,пожал,[]
86154,Фродо,nsubj,спросил,[]
86501,Фродо,nsubj,отвечал,[]
86670,Фродо,nsubj,отвел,[]
87138,Фродо,nsubj,перебил,[]
87251,Фродо,nsubj,воскликнул,[]
87350,Фродо,nsubj,перебил,[]
88269,Фродо,nsubj,ответил,[]
88386,Фродо,nsubj,сказал,[]
88640,Фродо,nsubj,сказал,[]
88704,Фродо,nsubj,ответил,[]
89124,Фродо,nsubj,прочел,[]
89203,Фродо,nsubj,повернулся,[]
89761,Фродо,nsubj,-,[запинкой]
89872,Фродо,nsubj,осенило,[]
90128,Фродо,nsubj,спросил,[]
90590,Фродо,nsubj,вскрикнул,[]
90739,Фродо,nsubj,успокоил,[]
91567,Фродо,nsubj,подытожил,[]
91642,Фродо,nsubj,рассказал,[вкратце]
91818,Фродо,nsubj,увидел,[]
91839,Фродо,nsubj,закрыл,[]
92585,Фродо,nsubj,очнулся,[]
92654,Фродо,nsubj,заснул,[]
92689,Фродо,nsubj,открыл,[]
93015,Фродо,nsubj,убила,[]
93091,Фродо,nsubj,печалится,[]
93216,Фродо,nsubj,взмолился,[]
93533,Фродо,nsubj,усомнился,[]
94552,Фродо,nsubj,приметил,[]
94577,Фродо,nsubj,подумал,[]
95725,Фродо,nsubj,лежал,[]
95791,Фродо,nsubj,спросил,"[Бродягу, поднялся]"
95869,Фродо,nsubj,забылся,[]
96515,Фродо,nsubj,половинка,"[прежний, –]"
96535,Фродо,nsubj,сказал,[]
97781,Фродо,nsubj,различил,[]
97999,Фродо,nsubj,сказал,[]
98288,Фродо,nsubj,вздохнул,[]
98324,Фродо,nsubj,ощутил,[]
98403,Фродо,nsubj,вгляделся,[]
98443,Фродо,nsubj,потянул,[]
98522,Фродо,nsubj,могли,[Мерри]
99362,Фродо,nsubj,воскликнул,[]
99682,Фродо,nsubj,сказал,[]
99817,Фродо,nsubj,подвинулись,[друзья]
99958,Фродо,nsubj,знает,[]
100017,Фродо,nsubj,знает,[]
101272,Фродо,nsubj,остались,[Пиппин]
101306,Фродо,nsubj,почувствовал,[]
101387,Фродо,nsubj,спросил,"[вскакивая.–Нет, хозяин]"
101505,Фродо,nsubj,пошевелился,[]
101618,Фродо,nsubj,показалось,[]
101661,Фродо,nsubj,испугался,[]
101688,Фродо,nsubj,захватило,[]
101961,Фродо,nsubj,выхватил,[]
102042,Фродо,nsubj,бросился,[]
102095,Фродо,nsubj,увидел,[]
102125,Фродо,nsubj,стянул,[]
102187,Фродо,nsubj,встрепенулся,[]
102217,Фродо,nsubj,уяснил,[]
102743,Фродо,nsubj,жив,[]
102785,Фродо,nsubj,задремал,[]
103250,Фродо,nsubj,помогла,[трава]
103276,Фродо,nsubj,мог,[]
103439,Фродо,nsubj,мог,[]
103558,Фродо,nsubj,нельзя,[]
103722,Фродо,nsubj,больно,[]
103866,Фродо,nsubj,больно,[]
104723,Фродо,nsubj,догадывался,[]
105252,Фродо,nsubj,мог,[]
105354,Фродо,nsubj,погрузился,[]
105405,Фродо,nsubj,проснулся,[]
105719,Фродо,nsubj,бросился,[]
105761,Фродо,nsubj,хватило,[этого]
105962,Фродо,nsubj,лежал,[]
106192,Фродо,nsubj,смог,[]
106229,Фродо,nsubj,почувствовал,[]
106738,Фродо,nsubj,покачивался,[]
106834,Фродо,nsubj,произнес,[]
106960,Фродо,nsubj,проговорил,[]
107167,Фродо,nsubj,почувствовал,[]
107262,Фродо,nsubj,подтвердил,[]
107779,Фродо,nsubj,догадался,[]
108276,Фродо,nsubj,удивился,[]
108401,Фродо,nsubj,показалось,[]
108960,Фродо,nsubj,пошатнулся,[]
109019,Фродо,nsubj,пошатнулся,[]
109051,Фродо,nsubj,подхватил,[]
109202,Фродо,nsubj,почувствовал,[]
109327,Фродо,nsubj,насупился,[]
109424,Фродо,nsubj,нашел,[]
109545,Фродо,nsubj,забылся,[]
109875,Фродо,nsubj,рад,[]
110399,Фродо,nsubj,послушался,[]
110448,Фродо,nsubj,понял,[]
110640,Фродо,nsubj,глянул,[мельком]
110695,Фродо,nsubj,мог,[]
110752,Фродо,nsubj,захлестнул,[]
110832,Фродо,nsubj,забурлила,[]
110977,Фродо,nsubj,выпрямился,[]
111009,Фродо,nsubj,обладал,[]
111078,Фродо,nsubj,выговорил,[]
111112,Фродо,nsubj,похолодел,[]
111186,Фродо,nsubj,увидел,[]
111277,Фродо,nsubj,покидало,[]
111368,Фродо,nsubj,почувствовал,[]
111470,Фродо,nsubj,полежал,[]
111517,Фродо,nsubj,почувствовал,[]
111619,Фродо,nsubj,полежал,[]
111642,Фродо,nsubj,спросил,[]
111671,Фродо,nsubj,закричал,[]
111713,Фродо,nsubj,откинулся,[]
111828,Фродо,nsubj,спросил,[]
111978,Фродо,nsubj,изумился,[]
112086,Фродо,nsubj,возразил,[]
112166,Фродо,nsubj,запротестовал,[]
112400,Фродо,nsubj,подтвердил,[]
112467,Фродо,nsubj,кивнул,[]
112715,Фродо,nsubj,поразился,[]
112814,Фродо,nsubj,вздохнул,[]
112951,Фродо,nsubj,признался,[]
113181,Фродо,nsubj,содрогнулся,[]
113263,Фродо,nsubj,спросил,[]
113515,Фродо,nsubj,поежился,[]
113965,Фродо,nsubj,махнул,[]
114062,Фродо,nsubj,улыбался,[]
114582,Фродо,nsubj,приподнялся.–Увы,[–]
114853,Фродо,nsubj,кивнул,[]
115002,Фродо,nsubj,проговорил,[]
115046,Фродо,nsubj,заснул,[]
115059,Фродо,nsubj,безопасности,[]
115130,Фродо,nsubj,проснулся,[]
115220,Фродо,nsubj,поразился,[]
115295,Фродо,nsubj,сказал,[]
115438,Фродо,nsubj,сказал,[]
115679,Фродо,nsubj,сказал,[]
115942,Фродо,nsubj,рассмеялся,[]
116076,Фродо,nsubj,дивился,[]
116108,Фродо,nsubj,думал,[]
116380,Фродо,nsubj,понял,[]
116480,Фродо,nsubj,увидел,[]
116600,Фродо,nsubj,видел,[]
116686,Фродо,nsubj,поднял,[]
116741,Фродо,nsubj,мог,[]
116814,Фродо,nsubj,перестал,[]
